"",BBDP1.M.DE.N.VPI.C.NRGY00.I15.A,BBDP1.M.DE.N.VPI.C.NRGY00.I15.A_FLAGS
"",Consumer price index / Germany / Unadjusted figure / Energy,
BBK_COMM_SRC,"Statistisches Bundesamt, Wiesbaden.",
Decimals,1,
Time format code,P1M,
unit,2015=100,
unit multiplier,One,
last update,2022-04-12 08:09:57,
1991-01,46.0,
1991-02,45.7,
1991-03,44.0,
1991-04,44.4,
1991-05,45.1,
1991-06,45.1,
1991-07,48.5,
1991-08,48.2,
1991-09,48.9,
1991-10,50.4,
1991-11,50.5,
1991-12,49.5,
1992-01,49.0,
1992-02,49.4,
1992-03,49.2,
1992-04,49.4,
1992-05,49.8,
1992-06,49.9,
1992-07,49.4,
1992-08,49.3,
1992-09,49.3,
1992-10,49.3,
1992-11,49.5,
1992-12,49.3,
1993-01,49.9,
1993-02,49.9,
1993-03,50.1,
1993-04,50.3,
1993-05,50.2,
1993-06,50.0,
1993-07,50.1,
1993-08,49.9,
1993-09,49.5,
1993-10,49.9,
1993-11,49.9,
1993-12,49.4,
1994-01,51.5,
1994-02,51.6,
1994-03,51.5,
1994-04,51.6,
1994-05,51.8,
1994-06,51.7,
1994-07,51.6,
1994-08,52.3,
1994-09,51.6,
1994-10,51.6,
1994-11,51.7,
1994-12,51.6,
1995-01,51.4,
1995-02,51.4,
1995-03,51.1,
1995-04,51.4,
1995-05,51.4,
1995-06,51.5,
1995-07,50.8,
1995-08,50.8,
1995-09,51.2,
1995-10,50.8,
1995-11,51.0,
1995-12,51.3,
1996-01,50.8,
1996-02,51.0,
1996-03,51.1,
1996-04,51.6,
1996-05,51.5,
1996-06,51.1,
1996-07,51.1,
1996-08,51.3,
1996-09,52.2,
1996-10,52.8,
1996-11,52.7,
1996-12,52.9,
1997-01,53.4,
1997-02,53.2,
1997-03,52.9,
1997-04,52.8,
1997-05,52.8,
1997-06,52.5,
1997-07,52.5,
1997-08,53.7,
1997-09,53.4,
1997-10,53.6,
1997-11,53.3,
1997-12,53.1,
1998-01,52.2,
1998-02,51.9,
1998-03,51.6,
1998-04,52.0,
1998-05,51.6,
1998-06,51.4,
1998-07,51.6,
1998-08,51.3,
1998-09,51.1,
1998-10,50.9,
1998-11,50.8,
1998-12,50.2,
1999-01,50.1,
1999-02,49.8,
1999-03,50.4,
1999-04,53.4,
1999-05,52.9,
1999-06,53.5,
1999-07,54.4,
1999-08,55.1,
1999-09,55.5,
1999-10,55.3,
1999-11,55.3,
1999-12,56.3,
2000-01,57.4,
2000-02,57.7,
2000-03,59.3,
2000-04,58.2,
2000-05,58.7,
2000-06,61.0,
2000-07,61.3,
2000-08,61.3,
2000-09,64.6,
2000-10,63.8,
2000-11,64.3,
2000-12,63.4,
2001-01,62.9,
2001-02,64.6,
2001-03,64.5,
2001-04,65.4,
2001-05,66.9,
2001-06,66.4,
2001-07,64.9,
2001-08,64.6,
2001-09,65.5,
2001-10,63.4,
2001-11,62.3,
2001-12,61.7,
2002-01,63.0,
2002-02,63.4,
2002-03,64.6,
2002-04,65.8,
2002-05,65.1,
2002-06,64.5,
2002-07,64.5,
2002-08,64.7,
2002-09,65.3,
2002-10,65.6,
2002-11,64.1,
2002-12,64.3,
2003-01,67.4,
2003-02,68.8,
2003-03,69.4,
2003-04,67.1,
2003-05,65.9,
2003-06,66.3,
2003-07,66.5,
2003-08,67.3,
2003-09,66.9,
2003-10,67.0,
2003-11,66.7,
2003-12,66.7,
2004-01,67.3,
2004-02,67.1,
2004-03,67.9,
2004-04,68.9,
2004-05,70.8,
2004-06,69.6,
2004-07,70.4,
2004-08,71.4,
2004-09,71.1,
2004-10,73.4,
2004-11,71.4,
2004-12,69.7,
2005-01,70.9,
2005-02,71.5,
2005-03,73.4,
2005-04,74.8,
2005-05,74.6,
2005-06,76.2,
2005-07,78.1,
2005-08,79.1,
2005-09,81.3,
2005-10,81.8,
2005-11,79.3,
2005-12,79.4,
2006-01,81.5,
2006-02,81.7,
2006-03,81.9,
2006-04,84.2,
2006-05,84.5,
2006-06,85.0,
2006-07,85.8,
2006-08,85.4,
2006-09,82.7,
2006-10,82.3,
2006-11,81.9,
2006-12,81.9,
2007-01,83.1,
2007-02,83.7,
2007-03,84.9,
2007-04,85.9,
2007-05,86.3,
2007-06,86.5,
2007-07,87.3,
2007-08,86.3,
2007-09,87.4,
2007-10,87.3,
2007-11,90.7,
2007-12,88.8,
2008-01,90.8,
2008-02,91.2,
2008-03,93.2,
2008-04,94.1,
2008-05,97.4,
2008-06,99.2,
2008-07,100.5,
2008-08,97.5,
2008-09,98.1,
2008-10,95.8,
2008-11,92.0,
2008-12,88.1,
2009-01,90.1,
2009-02,90.1,
2009-03,89.0,
2009-04,89.2,
2009-05,89.6,
2009-06,91.4,
2009-07,89.0,
2009-08,90.7,
2009-09,89.3,
2009-10,89.2,
2009-11,89.7,
2009-12,88.9,
