Kategorie: Alle Kategorien

Monat,Insolvenz: (Deutschland)
2004-01,80
2004-02,97
2004-03,97
2004-04,96
2004-05,83
2004-06,85
2004-07,90
2004-08,89
2004-09,96
2004-10,93
2004-11,91
2004-12,69
2005-01,95
2005-02,100
2005-03,87
2005-04,90
2005-05,80
2005-06,90
2005-07,81
2005-08,83
2005-09,74
2005-10,69
2005-11,65
2005-12,66
2006-01,72
2006-02,72
2006-03,72
2006-04,65
2006-05,69
2006-06,58
2006-07,63
2006-08,70
2006-09,69
2006-10,65
2006-11,65
2006-12,52
2007-01,59
2007-02,59
2007-03,62
2007-04,61
2007-05,57
2007-06,61
2007-07,60
2007-08,62
2007-09,53
2007-10,52
2007-11,54
2007-12,50
2008-01,61
2008-02,61
2008-03,63
2008-04,61
2008-05,50
2008-06,54
2008-07,60
2008-08,58
2008-09,61
2008-10,64
2008-11,62
2008-12,62
2009-01,76
2009-02,93
2009-03,91
2009-04,80
2009-05,75
2009-06,95
2009-07,81
2009-08,78
2009-09,74
2009-10,86
2009-11,76
2009-12,61
2010-01,64
2010-02,66
2010-03,71
2010-04,62
2010-05,62
2010-06,64
2010-07,57
2010-08,60
2010-09,54
2010-10,57
2010-11,59
2010-12,47
2011-01,62
2011-02,64
2011-03,63
2011-04,62
2011-05,60
2011-06,67
2011-07,63
2011-08,58
2011-09,58
2011-10,53
2011-11,64
2011-12,63
2012-01,88
2012-02,68
2012-03,74
2012-04,58
2012-05,60
2012-06,66
2012-07,85
2012-08,68
2012-09,65
2012-10,69
2012-11,76
2012-12,57
2013-01,74
2013-02,72
2013-03,66
2013-04,79
2013-05,61
2013-06,79
2013-07,88
2013-08,61
2013-09,52
2013-10,53
2013-11,50
2013-12,42
2014-01,72
2014-02,54
2014-03,48
2014-04,46
2014-05,46
2014-06,44
2014-07,49
2014-08,44
2014-09,45
2014-10,46
2014-11,45
2014-12,43
2015-01,43
2015-02,47
2015-03,45
2015-04,43
2015-05,40
2015-06,44
2015-07,46
2015-08,46
2015-09,42
2015-10,38
2015-11,39
2015-12,39
2016-01,39
2016-02,39
2016-03,39
2016-04,42
2016-05,37
2016-06,39
2016-07,46
2016-08,43
2016-09,45
2016-10,39
2016-11,39
2016-12,37
2017-01,41
2017-02,42
2017-03,38
2017-04,36
2017-05,40
2017-06,40
2017-07,38
2017-08,48
2017-09,40
2017-10,40
2017-11,39
2017-12,44
2018-01,38
2018-02,38
2018-03,39
2018-04,36
2018-05,33
2018-06,33
2018-07,34
2018-08,34
2018-09,35
2018-10,36
2018-11,36
2018-12,33
2019-01,62
2019-02,90
2019-03,40
2019-04,39
2019-05,38
2019-06,34
2019-07,40
2019-08,39
2019-09,72
2019-10,53
2019-11,42
2019-12,38
2020-01,44
2020-02,45
2020-03,55
2020-04,69
2020-05,58
2020-06,69
2020-07,58
2020-08,44
2020-09,55
2020-10,42
2020-11,34
2020-12,33
2021-01,54
2021-02,37
2021-03,38
2021-04,30
2021-05,30
2021-06,29
2021-07,30
2021-08,28
2021-09,29
2021-10,31
2021-11,29
2021-12,33
2022-01,35
2022-02,34
2022-03,32
2022-04,29
2022-05,38
