,BBDE1.M.DE.W.BAA1.A2P000000.G.C.I15.A,BBDE1.M.DE.W.BAA1.A2P000000.G.C.I15.A_FLAGS
",""Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar adjusted only"","
Conversion english,Average,
Decimals,1,
Source (in english),Calendar adjustment based on data provided by the Federal Statistical Office,
Time format code,P1M,
unit,2015=100,
unit multiplier,One,
last update,2022-05-06 08:09:41,
1991-01,74.5,
1991-02,73.8,
1991-03,83.6,
1991-04,78.5,
1991-05,76.2,
1991-06,82.3,
1991-07,75.9,
1991-08,70.5,
1991-09,81.5,
1991-10,84.0,
1991-11,85.8,
1991-12,76.0,
1992-01,73.7,
1992-02,75.8,
1992-03,83.9,
1992-04,79.2,
1992-05,77.1,
1992-06,79.7,
1992-07,74.2,
1992-08,70.2,
1992-09,80.9,
1992-10,81.7,
1992-11,81.3,
1992-12,71.6,
1993-01,67.7,
1993-02,67.8,
1993-03,76.8,
1993-04,72.1,
1993-05,70.8,
1993-06,74.0,
1993-07,68.6,
1993-08,67.0,
1993-09,77.1,
1993-10,78.1,
1993-11,78.2,
1993-12,70.1,
1994-01,67.1,
1994-02,68.7,
1994-03,78.2,
1994-04,74.4,
1994-05,73.3,
1994-06,77.0,
1994-07,72.9,
1994-08,68.6,
1994-09,80.1,
1994-10,82.3,
1994-11,83.4,
1994-12,74.2,
1995-01,68.5,
1995-02,72.0,
1995-03,80.2,
1995-04,76.2,
1995-05,75.6,
1995-06,78.2,
1995-07,74.7,
1995-08,69.0,
1995-09,80.8,
1995-10,79.5,
1995-11,80.9,
1995-12,71.6,
1996-01,67.3,
1996-02,67.8,
1996-03,78.2,
1996-04,74.6,
1996-05,74.5,
1996-06,77.9,
1996-07,74.4,
1996-08,70.1,
1996-09,81.2,
1996-10,80.5,
1996-11,82.1,
1996-12,73.3,
1997-01,67.6,
1997-02,70.7,
1997-03,80.9,
1997-04,76.2,
1997-05,74.4,
1997-06,80.1,
1997-07,78.3,
1997-08,70.4,
1997-09,81.5,
1997-10,83.1,
1997-11,84.2,
1997-12,75.4,
1998-01,72.4,
1998-02,73.9,
1998-03,84.5,
1998-04,79.1,
1998-05,78.4,
1998-06,81.8,
